ID,MDU,ST,CC,clade,BAPS_clade,BAPS_level1,BAPS_level2,country,continent,year,sample_type,lzd_genotype,van_operon,cfr,cfrB,cfrD,optrA,poxtA
GCA_021121745.1,No,420,,,1,1,3,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021121825.1,No,5,,,2,1,2,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021121925.1,No,420,,,1,1,2,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021121945.1,No,420,,,1,1,2,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122055.1,No,22,17,,1,3,17,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021122155.1,No,32,17,,1,3,17,Belgium,Europe,2019,,optrA,-,,,,yes,
GCA_021122225.1,No,104,,,1,3,17,Belgium,Europe,2019,,optrA,-,,,,yes,
GCA_021122265.1,No,56,17,,1,3,17,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021122295.1,No,-,,,1,1,4,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122345.1,No,18,17,,1,3,17,Belgium,Europe,2019,,optrA,-,,,,yes,
GCA_021122385.1,No,324,17,,1,3,17,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021122425.1,No,22,17,,1,3,17,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021122445.1,No,957,,,1,3,17,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021122585.1,No,137,,,2,5,24,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122605.1,No,97,,,1,5,24,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122645.1,No,-,,,1,1,1,Belgium,Europe,2018,,"optrA, poxtA",-,,,,yes,yes
GCA_021122705.1,No,-,,,1,1,4,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122765.1,No,-,,,1,1,2,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122785.1,No,140,,,2,1,1,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021122805.1,No,55,17,,1,4,23,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122825.1,No,133,,,2,1,1,Belgium,Europe,2019,,optrA,-,,,,yes,
GCA_021122985.1,No,22,17,,1,3,10,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021123005.1,No,-,,,1,3,14,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021123075.1,No,1023,,,1,3,18,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021123205.1,No,-,,,2,3,18,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021123285.1,No,5,,,2,7,31,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021123345.1,No,718,,,2,4,23,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021123405.1,No,104,,,1,1,1,Belgium,Europe,2019,,optrA,-,,,,yes,
GCA_021123505.1,No,49,,,2,7,31,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021123525.1,No,137,,,2,1,1,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021123545.1,No,22,17,,1,4,21,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021123605.1,No,5,,,2,4,21,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021123875.1,No,184,,,2,1,1,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021124145.1,No,1146,,,2,1,1,Belgium,Europe,2019,,optrA,-,,,,yes,
GCA_021124165.1,No,278,,,2,1,2,Belgium,Europe,2019,,optrA,-,,,,yes,
GCA_021124205.1,No,-,,,1,1,1,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021124265.1,No,-,,,1,3,14,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021124315.1,No,-,,,2,5,25,Belgium,Europe,2019,,optrA,-,,,,yes,
GCA_021124445.1,No,1023,,,1,5,26,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021311015.1,No,80,17,A1,1,7,31,Reunion,Europe,2017,clinical/human,optrA,vanA,,,,yes,
GCA_021311095.1,No,761,17,,1,3,13,Reunion,Europe,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_021311125.1,No,761,17,,1,3,13,Reunion,Europe,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_021311135.1,No,761,17,,1,3,15,Reunion,Europe,2018,clinical/human,cfr(D),vanA,,,yes,,
GCA_021311175.1,No,761,17,,1,1,2,Reunion,Europe,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_021311275.1,No,761,17,,1,6,28,Reunion,Europe,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_021311315.1,No,761,17,,1,1,1,Reunion,Europe,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_021311335.1,No,761,17,,1,1,1,Reunion,Europe,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_021311495.1,No,761,17,,1,3,16,Reunion,Europe,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_021320335.1,No,202,,,1,1,2,Ireland,Europe,2018,clinical/human,poxtA,vanA,,,,,yes
GCA_021331195.1,No,612,,,1,2,6,Ireland,Europe,2019,clinical/human,poxtA,vanA,,,,,yes
GCA_021332155.1,No,202,17,,1,1,2,Ireland,Europe,2018,clinical/human,poxtA,vanA,,,,,yes
GCA_021332575.1,No,80,17,,1,1,2,Ireland,Europe,2018,clinical/human,poxtA,vanA,,,,,yes
GCA_021338915.1,No,80,17,A1,1,1,2,Ireland,Europe,2019,clinical/human,poxtA,vanA,,,,,yes
GCA_021418945.1,No,-,,,1,1,2,Germany,Europe,2020,clinical/human,poxtA,,,,,,yes
GCA_021418965.1,No,-,17,,1,1,2,Germany,Europe,2020,clinical/human,poxtA,,,,,,yes
GCA_021420065.1,No,117,17,A1,1,3,16,Germany,Europe,2020,clinical/human,cfr(B),vanB,,yes,,,
GCA_021471745.1,No,117,17,A1,1,1,1,Germany,Europe,2017,clinical/human,cfr(B),vanB,,yes,,,
GCA_021560195.1,No,29,17,,1,1,2,China,Asia,2016,animal,"optrA, poxtA",-,,,,yes,yes
GCA_022426705.1,No,-,17,,1,5,25,China,Asia,2017,clinical/human,poxtA,,,,,,yes
GCA_023182815.2,No,22,17,,1,4,21,China,Asia,2018,animal,"optrA, poxtA",-,,,,yes,yes
GCA_023182835.2,No,56,17,,1,3,19,China,Asia,2018,animal,optrA,-,,,,yes,
GCA_023299805.1,No,-,,,1,7,32,,,2022,,"cfr(D), optrA",,,,yes,yes,
GCA_023375225.1,No,416,,,1,3,12,,,2021,animal,poxtA,-,,,,,yes
GCA_025476665.1,No,868,,,1,4,21,France,Europe,2020,clinical/human,"optrA, poxtA",vanD,,,,yes,yes
GCA_025476955.1,No,-,,,1,2,7,France,Europe,2020,clinical/human,optrA,vanA,,,,yes,
GCA_025477065.1,No,-,,,1,5,25,France,Europe,2020,clinical/human,poxtA,,,,,,yes
GCA_025477335.1,No,97,,,1,2,6,France,Europe,2019,clinical/human,"optrA, poxtA",,,,,yes,yes
GCA_025477585.1,No,202,,,1,1,1,France,Europe,2019,clinical/human,poxtA,vanD,,,,,yes
GCA_025477655.1,No,761,17,,1,1,1,Reunion,Europe,2022,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_025477735.1,No,-,,,1,3,14,France,Europe,2021,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_025477835.1,No,269,17,,1,2,6,France,Europe,2019,clinical/human,optrA,,,,,yes,
GCA_025477945.1,No,80,17,A1,1,1,2,France,Europe,2020,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_025478015.1,No,202,17,A1,1,1,3,France,Europe,2019,clinical/human,poxtA,,,,,,yes
GCA_025478095.1,No,80,17,A1,1,4,21,France,Europe,2019,clinical/human,cfr(D),vanA,,,yes,,
GCA_025478225.1,No,80,17,,1,1,2,France,Europe,2018,clinical/human,poxtA,,,,,,yes
GCA_025478555.1,No,761,17,,1,1,1,Reunion,Europe,2018,clinical/human,cfr(D),vanA,,,yes,,
GCA_025478705.1,No,1676,17,,1,1,3,France,Europe,2018,clinical/human,poxtA,,,,,,yes
GCA_025479445.1,No,168,17,,1,2,6,France,Europe,2018,clinical/human,poxtA,,,,,,yes
GCA_025479745.1,No,117,17,A1,1,1,1,France,Europe,2018,clinical/human,cfr(D),vanA,,,yes,,
GCA_025481715.1,No,168,,,1,4,21,France,Europe,2017,clinical/human,poxtA,,,,,,yes
GCA_025481835.1,No,80,17,A1,1,2,6,Reunion,Europe,2017,clinical/human,optrA,vanA,,,,yes,
GCA_025481845.1,No,324,17,,1,2,6,France,Europe,2017,clinical/human,"optrA, poxtA",,,,,yes,yes
GCA_025515395.1,No,124,,,1,1,1,South Korea,Asia,2020,,optrA,-,,,,yes,
GCA_025629065.1,No,533,17,,1,2,6,China,Asia,2021,clinical/human,optrA,,,,,yes,
GCA_025641905.1,No,184,,,2,4,21,China,Asia,2018,animal,"optrA, poxtA",-,,,,yes,yes
GCA_025753015.1,No,650,,,1,1,1,China,Asia,2021,animal,optrA,-,,,,yes,
GCA_025753055.1,No,636,,,1,3,17,China,Asia,2020,animal,"optrA, poxtA",-,,,,yes,yes
GCA_025753075.1,No,184,,,2,3,12,China,Asia,2020,animal,poxtA,-,,,,,yes
GCA_025753095.1,No,-,,,1,3,19,China,Asia,2020,animal,optrA,-,,,,yes,
GCA_025753115.1,No,-,,,1,5,24,China,Asia,2020,animal,optrA,-,,,,yes,
GCA_025753135.1,No,1660,,,1,3,15,China,Asia,2020,animal,optrA,-,,,,yes,
GCA_025753145.1,No,-,,,1,1,1,China,Asia,2020,animal,optrA,-,,,,yes,
GCA_025753175.1,No,324,17,,1,3,10,China,Asia,2020,animal,"optrA, poxtA",-,,,,yes,yes
GCA_025753195.1,No,-,,,1,3,16,China,Asia,2020,animal,optrA,-,,,,yes,
GCA_025753215.1,No,-,,,1,3,17,China,Asia,2020,animal,optrA,-,,,,yes,
GCA_025753255.1,No,-,,,1,7,30,China,Asia,2020,animal,optrA,-,,,,yes,
GCA_025753345.1,No,-,,,1,4,22,China,Asia,2020,animal,"optrA, poxtA",-,,,,yes,yes
GCA_025753575.1,No,190,,,1,1,1,China,Asia,2020,animal,optrA,-,,,,yes,
GCA_025753655.1,No,1630,,,1,4,22,China,Asia,2020,animal,"optrA, poxtA",-,,,,yes,yes
GCA_025753745.1,No,184,,,2,3,14,China,Asia,2020,animal,"optrA, poxtA",-,,,,yes,yes
GCA_025800545.1,No,56,17,,1,1,3,China,Asia,2020,animal,"optrA, poxtA",-,,,,yes,yes
GCA_025800625.1,No,636,,,1,5,24,China,Asia,2020,animal,"optrA, poxtA",-,,,,yes,yes
GCA_025847705.1,No,324,17,,1,1,1,China,Asia,2021,animal,poxtA,-,,,,,yes
GCA_025847735.1,No,-,,,1,1,2,China,Asia,2020,animal,optrA,-,,,,yes,
GCA_025913595.1,No,-,,,2,2,7,China,Asia,2020,animal,"optrA, poxtA",-,,,,yes,yes
GCA_025916235.1,No,-,,,1,4,20,China,Asia,2020,animal,optrA,-,,,,yes,
GCA_025953925.1,No,80,17,A1,1,3,15,India,Asia,2017,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_025953965.1,No,80,17,A1,1,1,2,India,Asia,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_025960185.1,No,80,17,A1,1,7,30,India,Asia,2018,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_025973165.1,No,1421,17,,1,3,16,Australia,Oceania,2019,clinical/human,cfr(B),vanA,,yes,,,
GCA_025983725.1,No,1421,17,,1,4,22,Australia,Oceania,2018,clinical/human,cfr(B),vanA,,yes,,,
GCA_025998395.1,No,117,17,,1,1,2,Vietnam,Asia,2021,,cfr(D),vanA,,,yes,,
GCA_026012595.1,No,117,17,,1,5,24,Vietnam,Asia,2021,,cfr(D),vanA,,,yes,,
GCA_026202455.1,No,323,17,,1,4,21,China,Asia,2021,animal,"optrA, poxtA",-,,,,yes,yes
GCA_026203285.1,No,-,,,2,2,7,China,Asia,2021,animal,"optrA, poxtA",-,,,,yes,yes
GCA_026203655.1,No,-,,,2,5,27,China,Asia,2021,animal,"optrA, poxtA",-,,,,yes,yes
GCA_026203855.1,No,184,,,2,5,27,China,Asia,2021,animal,"optrA, poxtA",-,,,,yes,yes
GCA_026204135.1,No,-,,,2,4,20,China,Asia,2021,animal,optrA,-,,,,yes,
GCA_026204185.1,No,1630,,,1,8,33,China,Asia,2021,animal,optrA,-,,,,yes,
GCA_026942205.1,No,,17,,1,1,3,Belgium,Europe,2017,clinical/human,cfr(B),vanA,,yes,,,
GCA_027790995.1,No,1421,17,,1,4,20,Australia,Oceania,2018,clinical/human,cfr(B),vanA,,yes,,,
GCA_027944535.1,No,158,,,1,1,3,China,Asia,2022,environment,"optrA, poxtA",-,,,,yes,yes
GCA_028768695.1,No,203,17,A1,1,1,1,Denmark,Europe,2021,clinical/human,cfr(B),,,yes,,,
GCA_028784175.1,No,262,17,,1,1,1,Denmark,Europe,2020,clinical/human,"optrA, poxtA",,,,,yes,yes
GCA_028891525.1,No,-,,,1,8,33,China,Asia,2021,environment,optrA,-,,,,yes,
GCA_029319235.1,No,32,17,,1,1,1,USA,North America,2018,animal,poxtA,-,,,,,yes
GCA_029320745.1,No,32,17,,1,1,3,USA,North America,2018,animal,poxtA,-,,,,,yes
GCA_030064735.1,No,-,,,1,5,26,China,Asia,2019,animal,optrA,-,,,,yes,
GCA_030179055.1,No,590,,,1,8,33,China,Asia,2019,animal,"optrA, poxtA",-,,,,yes,yes
GCA_030179115.1,No,-,,,1,8,33,China,Asia,2019,animal,optrA,-,,,,yes,
GCA_030179135.1,No,-,,,1,5,25,China,Asia,2019,animal,optrA,-,,,,yes,
GCA_030179235.1,No,-,,,1,4,21,China,Asia,2019,animal,optrA,-,,,,yes,
GCA_030179275.1,No,22,17,,1,2,7,China,Asia,2019,environment,optrA,-,,,,yes,
GCA_030179285.1,No,-,,,1,5,25,China,Asia,2019,environment,optrA,-,,,,yes,
GCA_030179335.1,No,-,,,2,4,21,China,Asia,2019,environment,optrA,-,,,,yes,
GCA_030179375.1,No,-,,,1,1,3,China,Asia,2019,animal,"optrA, poxtA",-,,,,yes,yes
GCA_030179465.1,No,1507,,,1,8,33,China,Asia,2019,animal,optrA,-,,,,yes,
GCA_030179505.1,No,29,17,,1,2,7,China,Asia,2019,environment,"optrA, poxtA",-,,,,yes,yes
GCA_030340025.1,No,1263,17,,1,1,1,South Korea,Asia,2019,clinical/human,optrA,,,,,yes,
GCA_030340045.1,No,80,17,A1,1,1,2,South Korea,Asia,2019,clinical/human,optrA,,,,,yes,
GCA_030340165.1,No,80,17,A1,1,5,26,South Korea,Asia,2019,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
GCA_030340365.1,No,80,17,A1,1,5,26,South Korea,Asia,2019,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
GCA_030340395.1,No,80,17,A1,1,5,25,South Korea,Asia,2019,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
GCA_900639575.1,No,203,17,,1,1,4,Netherlands,Europe,2014,clinical/human,cfr(D),vanA,,,yes,,
GCA_900639585.1,No,80,17,,1,7,32,Netherlands,Europe,2013,clinical/human,cfr(B),vanB,,yes,,,
GCA_947051815.1,No,121,17,,1,2,6,France,Europe,2021,clinical/human,poxtA,,,,,,yes
SRR10040956,No,1535,,,2,1,1,Australia,Oceania,2016,clinical/human,poxtA,,,,,,yes
SRR10094570,No,-,,,1,2,6,Pakistan,Asia,2016,clinical/human,cfr(D),vanA,,,yes,,
SRR10094571,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
SRR10094574,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094578,No,132,17,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094580,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094581,No,-,,,1,3,16,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094582,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094586,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094587,No,-,,,1,1,1,Pakistan,Asia,2016,clinical/human,cfr(D),vanA,,,yes,,
SRR10094588,No,-,,,1,1,5,Pakistan,Asia,2016,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
SRR10094589,No,132,17,,1,1,5,Pakistan,Asia,2016,clinical/human,"optrA, poxtA",vanA,,,,yes,yes
SRR10094591,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,cfr(D),vanA,,,yes,,
SRR10094593,No,-,,,1,3,19,Pakistan,Asia,2016,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
SRR10094596,No,-,,,1,3,19,Pakistan,Asia,2016,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
SRR10094597,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
SRR10094598,No,132,17,,1,3,14,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094599,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094600,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094601,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094602,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094603,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094604,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094605,No,132,17,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094607,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094608,No,-,,,1,3,13,Pakistan,Asia,2016,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
