ID,year,country,continent,sample_type,lzd_genotype,van_operon,cfr,cfrB,cfrD,optrA,poxtA
GCA_009830505.1,2012,Malaysia,Asia,nonclinical,optrA,,,,,yes,
GCA_009830525.1,2012,Malaysia,Asia,nonclinical,optrA,,,,,yes,
GCA_009830535.1,2012,Malaysia,Asia,nonclinical,optrA,,,,,yes,
GCA_009830565.1,2014,Colombia,South America,nonclinical,optrA,,,,,yes,
GCA_009830615.1,2013,Brazil,South America,nonclinical,optrA,,,,,yes,
GCA_009830655.1,2013,USA,North America,nonclinical,optrA,,,,,yes,
GCA_009830675.1,2017,Tunisia,Asia,nonclinical,optrA,,,,,yes,
GCA_009830695.1,2017,Tunisia,Asia,nonclinical,optrA,,,,,yes,
GCA_009830715.1,2017,Tunisia,Asia,nonclinical,optrA,,,,,yes,
GCA_009830735.1,2017,Tunisia,Asia,nonclinical,optrA,,,,,yes,
GCA_009830765.1,2013,Brazil,South America,nonclinical,optrA,,,,,yes,
GCA_009830775.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_009830815.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_009830835.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_009830855.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_009830875.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_009914685.3,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_011193375.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_014212115.1,2013,Brazil,South America,nonclinical,optrA,,,,,yes,
GCA_014212215.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_014212225.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_015292825.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_015293385.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_015293405.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_015300025.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_015300605.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_015315065.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_015690905.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_015920145.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_015958805.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_016636325.1,2016,China,Asia,nonclinical,optrA,,,,,yes,
GCA_018253765.1,2017,China,Asia,nonclinical,optrA,,,,,yes,
GCA_018253835.1,2019,USA,North America,nonclinical,optrA,,,,,yes,
GCA_018253895.1,2019,USA,North America,nonclinical,optrA,,,,,yes,
GCA_019352775.1,2016,South Korea,Asia,nonclinical,"optrA, poxtA",,,,,yes,yes
GCA_019352835.1,2016,South Korea,Asia,nonclinical,"optrA, poxtA",,,,,yes,yes
GCA_019352855.1,2016,South Korea,Asia,nonclinical,"optrA, poxtA",,,,,yes,yes
GCA_021124585.1,2020,USA,North America,nonclinical,"optrA, poxtA",,,,,yes,yes
GCA_021124605.1,2020,USA,North America,nonclinical,"optrA, poxtA",,,,,yes,yes
GCA_022516035.1,2020,USA,North America,nonclinical,optrA,,,,,yes,
GCA_022935985.1,2020,USA,North America,nonclinical,optrA,,,,,yes,
GCA_023182655.2,2020,USA,North America,nonclinical,optrA,,,,,yes,
GCA_023182675.2,2019,USA,North America,nonclinical,optrA,,,,,yes,
GCA_023182755.2,2021,USA,North America,nonclinical,optrA,,,,,yes,
GCA_023299525.1,2018,China,Asia,nonclinical,optrA,,,,,yes,
GCA_023299545.1,2018,China,Asia,nonclinical,optrA,,,,,yes,
GCA_023299585.1,2018,South Korea,Asia,nonclinical,optrA,,,,,yes,
GCA_023299605.1,2017,China,Asia,nonclinical,optrA,,,,,yes,
GCA_023299645.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_023299665.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_023299685.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_023299705.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_023299785.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_023300025.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_023375245.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_023470065.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_023746575.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_024160685.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_024160745.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_024160765.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_024160795.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_024267595.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_024483145.1,2021,,,nonclinical,optrA,,,,,yes,
GCA_024483525.1,2022,USA,North America,nonclinical,optrA,,,,,yes,
GCA_024487685.1,2022,USA,North America,nonclinical,optrA,,,,,yes,
GCA_025753445.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_025753475.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_025753535.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_025753545.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_025753595.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_025753605.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_025753635.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_025753675.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_025753695.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_025753705.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_025753735.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_025776135.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026200775.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026200795.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026200815.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026200825.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026200835.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026200845.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026200895.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201135.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201175.1,2020,Italy,Europe,nonclinical,optrA,,,,,yes,
GCA_026201195.1,2020,Italy,Europe,nonclinical,optrA,,,,,yes,
GCA_026201215.1,2020,Italy,Europe,nonclinical,optrA,,,,,yes,
GCA_026201225.1,2020,Italy,Europe,nonclinical,optrA,,,,,yes,
GCA_026201235.1,2021,United Arab Emirates,Asia,nonclinical,optrA,,,,,yes,
GCA_026201265.1,2021,United Arab Emirates,Asia,nonclinical,optrA,,,,,yes,
GCA_026201295.1,2021,United Arab Emirates,Asia,nonclinical,optrA,,,,,yes,
GCA_026201315.1,2021,United Arab Emirates,Asia,nonclinical,optrA,,,,,yes,
GCA_026201325.1,2021,United Arab Emirates,Asia,nonclinical,optrA,,,,,yes,
GCA_026201335.1,2021,United Arab Emirates,Asia,nonclinical,optrA,,,,,yes,
GCA_026201375.1,2021,United Arab Emirates,Asia,nonclinical,optrA,,,,,yes,
GCA_026201395.1,2021,United Arab Emirates,Asia,nonclinical,optrA,,,,,yes,
GCA_026201415.1,2021,United Arab Emirates,Asia,nonclinical,optrA,,,,,yes,
GCA_026201435.1,2021,United Arab Emirates,Asia,nonclinical,optrA,,,,,yes,
GCA_026201475.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201495.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201515.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201535.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201555.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201565.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201595.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201615.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201635.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201655.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201675.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201695.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201725.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201735.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201775.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201795.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201815.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201835.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201845.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201875.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201895.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201925.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201955.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026201995.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202025.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202115.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202135.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202195.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202225.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202235.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202285.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202315.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202335.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202355.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202375.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202385.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202415.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202435.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202475.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202495.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202515.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202535.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202555.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202575.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202595.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202615.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202635.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202645.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202675.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202695.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202715.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202725.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202755.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202775.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202785.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202815.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202835.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202855.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202865.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202895.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202915.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202935.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202955.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202975.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026202995.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203015.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203035.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203055.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203135.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203215.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203235.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203255.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203275.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203295.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203335.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203355.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203375.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203395.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203405.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203435.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203455.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203465.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203495.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203505.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203535.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203555.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203575.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203595.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203615.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203635.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203715.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203735.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203755.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203775.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203795.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203815.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203835.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203895.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203915.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203935.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203955.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203975.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026203995.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026204015.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026204035.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026204045.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026204075.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026204095.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026204155.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026204175.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026204215.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026204235.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026204255.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026802365.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_026802385.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_027846135.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_027942035.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028200655.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028200665.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028200685.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028200755.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028335305.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028335345.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028335425.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028335445.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028335505.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028335545.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028335665.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028335685.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028335705.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_028335725.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029000425.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029015825.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029375895.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029375915.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029378775.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029378785.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029378915.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029730335.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029730355.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029732835.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029732845.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029732895.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029732915.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029732935.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029732965.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733015.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733025.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733475.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733545.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733595.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733615.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733655.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733665.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733695.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733715.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733735.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733765.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733835.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733935.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029733955.1,2022,USA,North America,nonclinical,optrA,,,,,yes,
GCA_029734035.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734045.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734075.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734095.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734105.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734115.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734125.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734175.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734215.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734275.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734295.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734425.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734515.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_029734775.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_030064715.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_030110795.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_030110845.1,2019,China,Asia,nonclinical,optrA,,,,,yes,
GCA_030295805.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_030295845.1,2021,China,Asia,nonclinical,optrA,,,,,yes,
GCA_030364555.1,2022,USA,North America,nonclinical,optrA,,,,,yes,
GCA_030364595.1,2023,USA,North America,nonclinical,optrA,,,,,yes,
GCA_030364615.1,2023,USA,North America,nonclinical,optrA,,,,,yes,
GCA_030364645.1,2023,USA,North America,nonclinical,optrA,,,,,yes,
GCA_000788155.1,2011,Denmark,Europe,nonclinical,poxtA,,,,,,yes
GCA_016743895.1,2011,Denmark,Europe,nonclinical,poxtA,,,,,,yes
SRR19309658,2020,Malaysia,Asia,nonclinical,optrA,,,,,yes,
SRR21102103,2019,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102104,2020,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102105,2019,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102106,2020,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102108,2020,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102112,2020,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102117,2020,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102118,2020,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102119,2019,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102120,2019,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102122,2019,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102129,2019,Belgium,Europe,nonclinical,optrA,,,,,yes,
SRR21102132,2019,Belgium,Europe,nonclinical,optrA,,,,,yes,
GCA_019350975.1,2017,South Korea,Asia,clinical,"cfr(D), optrA, poxtA2",,,,yes,yes,yes
GCA_025482015.1,2020,France,Europe,clinical,"cfr, optrA, poxtA",,yes,,,yes,yes
GCA_025482495.1,2019,France,Europe,clinical,"cfr(D), optrA",,,,yes,yes,
GCA_025482715.1,2018,France,Europe,clinical,"cfr(D), optrA",,,,yes,yes,
GCA_025482725.1,2018,France,Europe,clinical,"cfr, optrA",,yes,,,yes,
GCA_026617455.1,2017,USA,North America,clinical,cfr(B),,,yes,,,
GCA_030340465.1,2020,South Korea,Asia,clinical,"cfr(D), poxtA2",,,,yes,,yes
GCA_030340525.1,2020,South Korea,Asia,clinical,"cfr(D), poxtA2",,,,yes,,yes
GCA_030340535.1,2020,South Korea,Asia,clinical,"cfr(D), poxtA2",,,,yes,,yes
GCA_906464875.1,2017,United Kingdom,Europe,clinical,"cfr(D), optrA",,,,yes,yes,
GCA_002973735.1,2016,France,Europe,clinical,optrA,,,,,yes,
GCA_002973775.1,2016,France,Europe,clinical,optrA,,,,,yes,
GCA_002973815.1,2016,France,Europe,clinical,optrA,,,,,yes,
GCA_003962325.1,2015,China,Asia,clinical,optrA,,,,,yes,
GCA_003962375.1,2015,China,Asia,clinical,optrA,,,,,yes,
GCA_003962635.1,2015,China,Asia,clinical,optrA,,,,,yes,
GCA_003962645.1,2015,China,Asia,clinical,optrA,,,,,yes,
GCA_003962685.1,2015,China,Asia,clinical,optrA,,,,,yes,
GCA_004103105.1,2015,China,Asia,clinical,optrA,,,,,yes,
GCA_005979285.1,2017,China,Asia,clinical,optrA,,,,,yes,
GCA_005979305.1,2017,China,Asia,clinical,optrA,,,,,yes,
GCA_013312295.1,2015,Canada,North America,clinical,optrA,,,,,yes,
GCA_013523155.1,2017,Colombia,South America,clinical,optrA,,,,,yes,
GCA_014325425.1,2017,Lebanon,Asia,clinical,optrA,,,,,yes,
GCA_014325545.1,2017,Lebanon,Asia,clinical,optrA,,,,,yes,
GCA_015292605.1,2016,Spain,Europe,clinical,optrA,,,,,yes,
GCA_015292765.1,2016,Spain,Europe,clinical,optrA,,,,,yes,
GCA_015293145.1,2016,Spain,Europe,clinical,optrA,,,,,yes,
GCA_015294225.1,2016,Spain,Europe,clinical,optrA,,,,,yes,
GCA_016847365.1,2019,Belgium,Europe,clinical,optrA,,,,,yes,
GCA_016847525.1,2019,Belgium,Europe,clinical,optrA,,,,,yes,
GCA_016847585.1,2019,Belgium,Europe,clinical,optrA,,,,,yes,
