ID,MDU,ST,BAPS_level1,BAPS_level2,country,continent,year,sample_type,lzd_genotype,van_operon,cfr,cfrB,cfrD,optrA,poxtA
GCA_019917375.1,No,773,10,45,China,Asia,2016,animal,optrA,,,,,yes,
GCA_019917405.1,No,16,10,45,China,Asia,2016,animal,optrA,,,,,yes,
GCA_019917425.1,No,256,1,3,China,Asia,2016,animal,optrA,,,,,yes,
GCA_019917435.1,No,476,1,4,China,Asia,2016,animal,optrA,,,,,yes,
GCA_020616775.1,No,585,3,14,South Korea,Asia,2018,animal,optrA,,,,,yes,
GCA_020882115.1,No,-,3,14,China,Asia,2017,animal,optrA,,,,,yes,
GCA_021121195.1,No,631,5,24,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021121215.1,No,480,2,7,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021121265.1,No,16,8,38,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021121415.1,No,506,6,27,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021121465.1,No,16,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021121495.1,No,-,2,7,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021121565.1,No,-,2,7,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021121705.1,No,631,7,31,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021121725.1,No,21,7,31,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021121845.1,No,631,1,3,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021121905.1,No,480,10,47,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021121965.1,No,480,1,3,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122025.1,No,86,7,34,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122105.1,No,21,3,17,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122235.1,No,480,10,45,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122285.1,No,631,2,7,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122325.1,No,631,1,4,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122365.1,No,21,1,3,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122395.1,No,506,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122485.1,No,480,1,3,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122555.1,No,86,1,2,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122615.1,No,506,1,1,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122665.1,No,330,1,3,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122685.1,No,330,6,27,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122725.1,No,480,3,17,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122745.1,No,58,1,5,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122845.1,No,943,4,20,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122885.1,No,-,1,5,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122905.1,No,40,3,17,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122925.1,No,133,2,6,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122935.1,No,40,9,44,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021122965.1,No,207,1,1,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123045.1,No,59,1,1,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123065.1,No,480,11,48,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123105.1,No,234,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123165.1,No,631,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123225.1,No,506,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123265.1,No,133,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123305.1,No,631,1,3,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123325.1,No,55,3,14,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123365.1,No,49,7,33,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123385.1,No,330,8,38,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123425.1,No,23,6,29,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123435.1,No,-,6,29,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123445.1,No,16,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123485.1,No,21,6,30,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123565.1,No,108,6,26,Belgium,Europe,2019,-,"optrA, poxtA",,,,,yes,yes
GCA_021123625.1,No,631,1,3,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123655.1,No,480,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123685.1,No,55,6,29,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123705.1,No,234,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123745.1,No,631,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123765.1,No,480,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123775.1,No,-,5,25,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123805.1,No,480,2,11,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123845.1,No,476,3,14,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021123985.1,No,506,3,14,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124025.1,No,-,3,14,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124125.1,No,288,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124225.1,No,16,7,31,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124285.1,No,40,6,26,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124385.1,No,21,3,18,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124395.1,No,631,3,14,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124405.1,No,-,2,6,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124485.1,No,25,3,14,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124505.1,No,40,1,3,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124525.1,No,40,3,14,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124535.1,No,59,3,14,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124545.1,No,23,6,27,Belgium,Europe,2019,-,optrA,,,,,yes,
GCA_021124585.1,No,-,8,38,Belgium,Europe,2019,-,"optrA, poxtA",,,,,yes,yes
GCA_021124605.1,No,-,3,14,Belgium,Europe,2019,-,"optrA, poxtA",,,,,yes,yes
GCA_022516035.1,No,506,6,26,USA,North America,2022,animal,optrA,,,,,yes,
GCA_022935985.1,No,585,3,17,USA,North America,2022,animal,optrA,,,,,yes,
GCA_023182655.2,No,116,2,6,China,Asia,2018,animal,optrA,,,,,yes,
GCA_023182675.2,No,476,8,41,China,Asia,2018,animal,optrA,,,,,yes,
GCA_023182695.2,No,16,3,15,China,Asia,2018,animal,optrA,,,,,yes,
GCA_023182715.2,No,16,1,3,China,Asia,2018,animal,optrA,,,,,yes,
GCA_023182735.2,No,-,6,28,China,Asia,2018,animal,optrA,,,,,yes,
GCA_023182755.2,No,59,2,7,China,Asia,2018,animal,optrA,,,,,yes,
GCA_023182775.2,No,-,2,6,China,Asia,2018,animal,optrA,,,,,yes,
GCA_023182795.2,No,-,7,33,China,Asia,2018,animal,optrA,,,,,yes,
GCA_023299425.1,No,474,1,2,,,2022,others,optrA,,,,,yes,
GCA_023299465.1,No,-,1,3,,,2022,others,optrA,,,,,yes,
