ID,country
GCA_021121495.1,Belgium
GCA_021121565.1,Belgium
GCA_021121705.1,Belgium
GCA_021121725.1,Belgium
GCA_021121845.1,Belgium
GCA_021121905.1,Belgium
GCA_021121965.1,Belgium
GCA_021122025.1,Belgium
GCA_021122105.1,Belgium
GCA_021122235.1,Belgium
GCA_021122285.1,Belgium
GCA_021122325.1,Belgium
GCA_021122365.1,Belgium
GCA_021122395.1,Belgium
GCA_021122485.1,Belgium
GCA_021122555.1,Belgium
GCA_021122615.1,Belgium
GCA_021122665.1,Belgium
GCA_021122685.1,Belgium
GCA_021122725.1,Belgium
GCA_021122745.1,Belgium
GCA_021122845.1,Belgium
GCA_021122885.1,Belgium
GCA_021122905.1,Belgium
GCA_021122925.1,Belgium
GCA_021122935.1,Belgium
GCA_021122965.1,Belgium
GCA_021123045.1,Belgium
GCA_021123065.1,Belgium
GCA_021123105.1,Belgium
GCA_021123165.1,Belgium
GCA_021123225.1,Belgium
GCA_021123265.1,Belgium
GCA_021123305.1,Belgium
GCA_021123325.1,Belgium
GCA_021123365.1,Belgium
GCA_021123385.1,Belgium
GCA_021123425.1,Belgium
GCA_021123435.1,Belgium
GCA_021123445.1,Belgium
GCA_021123485.1,Belgium
GCA_021123565.1,Belgium
GCA_021123625.1,Belgium
GCA_021123655.1,Belgium
GCA_021123685.1,Belgium
GCA_021123705.1,Belgium
GCA_021123745.1,Belgium
GCA_021123765.1,Belgium
GCA_021123775.1,Belgium
GCA_021123805.1,Belgium
GCA_021123845.1,Belgium
GCA_021123985.1,Belgium
GCA_021124025.1,Belgium
GCA_021124125.1,Belgium
GCA_021124225.1,Belgium
GCA_021124285.1,Belgium
GCA_021124385.1,Belgium
GCA_021124395.1,Belgium
GCA_021124405.1,Belgium
GCA_021124485.1,Belgium
GCA_021124505.1,Belgium
GCA_021124525.1,Belgium
GCA_021124535.1,Belgium
GCA_021124545.1,Italy
GCA_021124585.1,USA
GCA_021124605.1,USA
GCA_022516035.1,USA
GCA_022935985.1,USA
GCA_023182655.2,USA
GCA_023182675.2,USA
GCA_023182695.2,Switzerland
GCA_023182715.2,Switzerland
GCA_023182735.2,Switzerland
GCA_023182755.2,USA
GCA_023182775.2,Pakistan
GCA_023182795.2,China
GCA_023299425.1,China
GCA_023299465.1,USA
GCA_023299525.1,China
GCA_023299545.1,China
GCA_023299585.1,South Korea
GCA_023299605.1,China
GCA_023299645.1,
GCA_023299665.1,
GCA_023299685.1,
GCA_023299705.1,
GCA_023299785.1,
GCA_023300025.1,
GCA_023375245.1,
GCA_023470065.1,
GCA_023746575.1,
GCA_024160685.1,
GCA_024160745.1,
GCA_024160765.1,
GCA_024160795.1,
GCA_024267595.1,
GCA_024483145.1,
GCA_024483525.1,USA
GCA_024487665.1,China
GCA_024487685.1,USA
GCA_024487705.1,China
GCA_024531085.1,China
GCA_024535035.1,China
GCA_024540495.1,China
GCA_024541695.1,China
GCA_024541715.1,China
GCA_025420395.1,China
GCA_025420435.1,China
GCA_025641915.1,China
GCA_025641945.1,China
GCA_025753025.1,China
GCA_025753415.1,China
GCA_025753445.1,China
GCA_025753475.1,China
GCA_025753535.1,China
GCA_025753545.1,China
GCA_025753595.1,China
GCA_025753605.1,China
GCA_025753635.1,China
GCA_025753675.1,China
GCA_025753695.1,China
GCA_025753705.1,China
GCA_025753735.1,China
GCA_025776135.1,China
GCA_026200775.1,China
GCA_026200795.1,China
GCA_026200815.1,China
GCA_026200825.1,China
GCA_026200835.1,China
GCA_026200845.1,China
GCA_026200895.1,China
GCA_026200915.1,
GCA_026200925.1,
GCA_026200955.1,
GCA_026200965.1,
GCA_026200995.1,
GCA_026201015.1,
GCA_026201025.1,
GCA_026201055.1,
GCA_026201065.1,
GCA_026201095.1,
GCA_026201115.1,
GCA_026201125.1,
GCA_026201135.1,China
GCA_026201175.1,Italy
GCA_026201195.1,Italy
GCA_026201215.1,Italy
GCA_026201225.1,Italy
GCA_026201235.1,United Arab Emirates
GCA_026201265.1,United Arab Emirates
GCA_026201295.1,United Arab Emirates
GCA_026201315.1,United Arab Emirates
GCA_026201325.1,United Arab Emirates
GCA_026201335.1,United Arab Emirates
GCA_026201375.1,United Arab Emirates
GCA_026201395.1,United Arab Emirates
GCA_026201415.1,United Arab Emirates
GCA_026201435.1,United Arab Emirates
GCA_026201455.1,China
GCA_026201475.1,China
GCA_026201495.1,China
GCA_026201515.1,China
GCA_026201535.1,China
GCA_026201555.1,China
GCA_026201565.1,China
GCA_026201595.1,China
GCA_026201615.1,China
GCA_026201635.1,China
GCA_026201655.1,China
GCA_026201675.1,China
GCA_026201695.1,China
GCA_026201725.1,China
GCA_026201735.1,China
GCA_026201775.1,China
GCA_026201795.1,China
GCA_026201815.1,China
GCA_026201835.1,China
GCA_026201845.1,China
GCA_026201875.1,China
GCA_026201895.1,China
GCA_026201925.1,China
GCA_026201955.1,China
GCA_026201995.1,China
GCA_026202025.1,China
GCA_026202115.1,China
GCA_026202135.1,China
GCA_026202195.1,China
GCA_026202225.1,China
GCA_026202235.1,China
GCA_026202285.1,China
GCA_026202315.1,China
GCA_026202335.1,China
GCA_026202355.1,China
GCA_026202375.1,China
GCA_026202385.1,China
GCA_026202415.1,China
GCA_026202435.1,China
GCA_026202475.1,China
GCA_026202495.1,China
GCA_026202515.1,China
GCA_026202535.1,China
GCA_026202555.1,China
GCA_026202575.1,China
GCA_026202595.1,China
GCA_026202615.1,China
GCA_026202635.1,China
GCA_026202645.1,China
GCA_026202675.1,China
GCA_026202695.1,China
GCA_026202715.1,China
GCA_026202725.1,China
GCA_026202755.1,China
GCA_026202775.1,China
GCA_026202785.1,China
GCA_026202815.1,China
GCA_026202835.1,China
GCA_026202855.1,China
GCA_026202865.1,China
GCA_026202895.1,China
GCA_026202915.1,China
GCA_026202935.1,China
GCA_026202955.1,China
GCA_026202975.1,China
GCA_026202995.1,China
GCA_026203015.1,China
GCA_026203035.1,China
GCA_026203055.1,China
GCA_026203135.1,China
GCA_026203215.1,China
GCA_026203235.1,China
GCA_026203255.1,China
GCA_026203275.1,China
GCA_026203295.1,China
GCA_026203335.1,China
GCA_026203355.1,China
GCA_026203375.1,China
GCA_026203395.1,China
GCA_026203405.1,China
GCA_026203435.1,China
GCA_026203455.1,China
GCA_026203465.1,China
GCA_026203495.1,China
GCA_026203505.1,China
GCA_026203535.1,China
GCA_026203555.1,China
GCA_026203575.1,China
GCA_026203595.1,China
GCA_026203615.1,China
GCA_026203635.1,China
GCA_026203715.1,China
GCA_026203735.1,China
GCA_026203755.1,China
GCA_026203775.1,China
GCA_026203795.1,China
GCA_026203815.1,China
GCA_026203835.1,China
GCA_026203895.1,China
GCA_026203915.1,China
GCA_026203935.1,China
GCA_026203955.1,China
GCA_026203975.1,China
GCA_026203995.1,China
GCA_026204015.1,China
GCA_026204035.1,China
GCA_026204045.1,China
GCA_026204075.1,China
GCA_026204095.1,China
GCA_026204155.1,China
GCA_026204175.1,China
GCA_026204215.1,China
GCA_026204235.1,China
GCA_026204255.1,China
GCA_026802365.1,China
GCA_026802385.1,China
GCA_027846135.1,China
GCA_027942035.1,China
GCA_028200655.1,China
GCA_028200665.1,China
GCA_028200685.1,China
GCA_028200755.1,China
GCA_028335305.1,China
GCA_028335345.1,China
GCA_028335425.1,China
GCA_028335445.1,China
GCA_028335505.1,China
GCA_028335545.1,China
GCA_028335665.1,China
GCA_028335685.1,China
GCA_028335705.1,China
GCA_028335725.1,China
GCA_029000425.1,China
GCA_029015825.1,China
GCA_029375895.1,China
GCA_029375915.1,China
GCA_029378775.1,China
GCA_029378785.1,China
GCA_029378915.1,China
GCA_029730335.1,China
GCA_029730355.1,China
GCA_029732835.1,China
GCA_029732845.1,China
GCA_029732895.1,China
GCA_029732915.1,China
GCA_029732935.1,China
GCA_029732965.1,China
GCA_029733015.1,China
GCA_029733025.1,China
GCA_029733095.1,China
GCA_029733115.1,China
GCA_029733125.1,China
GCA_029733135.1,China
GCA_029733225.1,China
GCA_029733235.1,China
GCA_029733315.1,China
GCA_029733325.1,China
GCA_029733355.1,China
GCA_029733395.1,China
GCA_029733405.1,China
GCA_029733435.1,China
GCA_029733445.1,China
GCA_029733475.1,China
GCA_029733545.1,China
GCA_029733595.1,China
GCA_029733615.1,China
GCA_029733655.1,China
GCA_029733665.1,China
GCA_029733695.1,China
GCA_029733715.1,China
GCA_029733735.1,China
GCA_029733765.1,China
GCA_029733835.1,China
GCA_029733935.1,China
GCA_029733955.1,USA
GCA_029733965.1,China
GCA_029733995.1,China
GCA_029734015.1,China
GCA_029734035.1,China
GCA_029734045.1,China
GCA_029734075.1,China
GCA_029734095.1,China
GCA_029734105.1,China
GCA_029734115.1,China
GCA_029734125.1,China
GCA_029734175.1,China
GCA_029734215.1,China
GCA_029734275.1,China
GCA_029734295.1,China
GCA_029734425.1,China
GCA_029734515.1,China
GCA_029734775.1,China
GCA_030064715.1,China
GCA_030110795.1,China
GCA_030110845.1,China
GCA_030110865.1,China
GCA_030116725.1,China
GCA_030116735.1,China
GCA_030116755.1,China
GCA_030116805.1,China
GCA_030116825.1,China
GCA_030116835.1,China
GCA_030116845.1,China
GCA_030116875.1,China
GCA_030178595.1,China
GCA_030178615.1,China
GCA_030178635.1,China
GCA_030178655.1,China
GCA_030178675.1,China
GCA_030178715.1,China
GCA_030178735.1,China
GCA_030178755.1,China
GCA_030178775.1,China
GCA_030178795.1,China
GCA_030178805.1,China
GCA_030178835.1,China
GCA_030178855.1,China
GCA_030178895.1,China
GCA_030178915.1,China
GCA_030178935.1,China
GCA_030178955.1,China
GCA_030178965.1,China
GCA_030178995.1,China
GCA_030270285.1,China
GCA_030270305.1,China
GCA_030270325.1,China
GCA_030295805.1,China
GCA_030295845.1,China
GCA_030364505.1,China
GCA_030364555.1,USA
GCA_030364575.1,China
GCA_030364595.1,USA
GCA_030364615.1,USA
GCA_030364645.1,USA
GCA_000788155.1,Denmark
GCA_016743895.1,Denmark
GCA_018387365.1,China
GCA_018389465.1,USA
GCA_018981765.1,USA
GCA_025602835.1,USA
GCA_905123805.1,USA
DRR126419,Japan
DRR126421,Japan
DRR400396,Japan
SRR10387870,China
SRR10387871,China
SRR10387876,China
SRR10387877,China
SRR10387878,China
SRR10387879,China
SRR13080469,Belgium
SRR13080472,Belgium
SRR13080473,Belgium
SRR13587488,China
SRR13587489,China
SRR13587496,China
SRR13587498,China
SRR13587499,China
SRR19441645,Australia
SRR6456333,Germany
SRR6456335,Germany
SRR6456338,Germany
SRR6456339,Germany
SRR6456340,Germany
SRR6456342,Germany
SRR6456346,Germany
SRR6456347,Germany
SRR6456348,Germany
SRR6456349,Germany
SRR6456350,Germany
SRR6456351,Germany
SRR7658823,Germany
SRR7658824,Germany
SRR9021436,South Africa
SRR13712557,Canada
SRR13712587,Canada
SRR13712598,Canada
SRR13725703,Canada
SRR13725714,Canada
SRR13726504,Canada
SRR13726515,Canada
SRR13726536,Canada
SRR19309658,Malaysia
SRR21102103,Belgium
SRR21102104,Belgium
SRR21102105,Belgium
SRR21102106,Belgium
SRR21102108,Belgium
SRR21102112,Belgium
SRR21102117,Belgium
SRR21102118,Belgium
SRR21102119,Belgium
SRR21102120,Belgium
SRR21102122,Belgium
SRR21102129,Belgium
SRR21102132,Belgium
SRR23460006,China
SRR23460007,China
SRR23460008,China
SRR23460009,China
SRR23460010,China
SRR23460011,China
SRR13587490,China
SRR13587491,China
SRR13587492,China
SRR13587493,China
SRR13587494,China
SRR13587495,China
SRR13587500,China
SRR13587501,China
SRR5407742,China
SRR6456332,Germany
