Accession,country
GCA_018517045.1,France
GCA_018517105.1,France
GCA_018517185.1,France
GCA_025477065.1,France
GCA_025477585.1,France
GCA_025478015.1,France
GCA_025478225.1,France
GCA_025478705.1,France
GCA_025479445.1,France
GCA_025481715.1,France
GCA_947051815.1,France
GCA_014489995.1,Germany
GCA_014490015.1,Germany
GCA_021420065.1,Germany
GCA_021471745.1,Germany
GCA_015361995.1,Germany
GCA_015362245.1,Germany
GCA_021418945.1,Germany
GCA_021418965.1,Germany
SRR10694396,Germany
SRR11730539,Germany
SRR13480558,Germany
SRR13480564,Germany
SRR3870891,Germany
SRR11910990,Germany
SRR11911039,Germany
SRR20936700,Germany
SRR3870887,Germany
SRR3870888,Germany
SRR3870889,Germany
SRR3870890,Germany
SRR6456334,Germany
SRR6456336,Germany
SRR6456337,Germany
SRR6456341,Germany
SRR6456344,Germany
SRR6456345,Germany
SRR6818540,Germany
GCA_012932975.2,India
GCA_012932985.2,India
GCA_012933185.1,India
GCA_017815695.1,India
GCA_025953925.1,India
GCA_025953965.1,India
GCA_025960185.1,India
GCA_005517315.1,India
GCA_005576735.1,India
SRR13902732,India
SRR13902733,India
SRR13902734,India
SRR23047320,India
SRR23047321,India
SRR23047323,India
SRR23047324,India
SRR23047325,India
GCA_021320335.1,Ireland
GCA_021331195.1,Ireland
GCA_021332155.1,Ireland
GCA_021332575.1,Ireland
GCA_021338915.1,Ireland
SRR15186232,Ireland
SRR15186539,Ireland
GCA_016917895.1,Italy
GCA_016917915.1,Italy
GCA_016917925.1,Italy
GCA_016917945.1,Italy
GCA_016917965.1,Italy
GCA_024296645.1,Italy
GCA_024586475.1,Italy
GCA_030295785.1,Japan
GCA_030270185.1,Japan
GCA_030270245.1,Japan
GCA_030295825.1,Japan
GCA_900639575.1,Netherlands
GCA_900639585.1,Netherlands
SRR6818536,Netherlands
SRR6818580,Netherlands
SRR10094570,Pakistan
SRR10094571,Pakistan
SRR10094574,Pakistan
SRR10094578,Pakistan
SRR10094580,Pakistan
SRR10094581,Pakistan
SRR10094582,Pakistan
SRR10094586,Pakistan
SRR10094587,Pakistan
SRR10094588,Pakistan
SRR10094589,Pakistan
SRR10094591,Pakistan
SRR10094593,Pakistan
SRR10094596,Pakistan
SRR10094597,Pakistan
SRR10094598,Pakistan
SRR10094599,Pakistan
SRR10094600,Pakistan
SRR10094601,Pakistan
SRR10094602,Pakistan
SRR10094603,Pakistan
SRR10094604,Pakistan
SRR10094605,Pakistan
SRR10094607,Pakistan
SRR10094608,Pakistan
SRR10094609,Pakistan
SRR10094610,Pakistan
SRR10094612,Pakistan
SRR10094613,Pakistan
SRR10094614,Pakistan
SRR10094619,Pakistan
SRR10094620,Pakistan
SRR10094621,Pakistan
GCA_009707525.1,Portugal
GCA_029378825.1,Portugal
GCA_019352635.1,Portugal
GCA_019352685.1,Portugal
SRR17609593,Portugal
SRR10123248,Qatar
SRR10123251,Qatar
GCA_021311095.1,Reunion
GCA_021311125.1,Reunion
GCA_021311135.1,Reunion
GCA_021311175.1,Reunion
GCA_021311275.1,Reunion
GCA_021311315.1,Reunion
GCA_021311335.1,Reunion
GCA_021311495.1,Reunion
GCA_025477655.1,Reunion
GCA_025478555.1,Reunion
GCA_021311015.1,Reunion
GCA_025481835.1,Reunion
GCA_030340025.1,South Korea
GCA_030340045.1,South Korea
GCA_030340165.1,South Korea
GCA_030340365.1,South Korea
GCA_030340395.1,South Korea
GCA_025515395.1,South Korea
SRR16631799,Spain
GCA_019175425.1,Switzerland
GCA_019175445.1,Switzerland
GCA_019175505.1,Switzerland
GCA_019175525.1,Switzerland
GCA_019201605.1,Switzerland
GCA_019175465.1,Switzerland
SRR19369843,Thailand
GCA_009707535.1,Tunisia
GCA_015402705.1,USA
GCA_020927235.1,USA
GCA_004332055.1,USA
GCA_029319235.1,USA
GCA_029320745.1,USA
SRR16347149,USA
SRR16347286,USA
SRR16866653,USA
SRR16866735,USA
SRR16866782,USA
SRR16866792,USA
SRR16917000,USA
SRR16866838,USA
SRR16866849,USA
GCA_025998395.1,Vietnam
GCA_026012595.1,Vietnam
GCA_023299805.1,NA
GCA_023375225.1,NA
